"Enabled", "Ativo"

"Mercado Pago - Configuration", "Mercado Pago - Configurações"
"Credit Card - Mercado Pago", "Cartões de Credito - Mercado Pago"

"Mercado Pago Custom - Credit Card", "Mercado Pago Transparente - Cartão de Crédito"
"Payment Title", "Titulo"
"Category of your store", "Categoria da Loja"
"Choose the status of approved orders", "Escolha o status dos pedidos para pagamentos Aprovados"
"Choose the status of refunded orders", "Escolha o status dos pedidos para pagamentos Devolvidos"
"Choose the status when payment is pending", "Escolha o status dos pedidos para pagamentos Pendentes"
"Choose the status when client open a mediation", "Escolha o status dos pedidos para pagamentos que estão em Disputa"
"Choose the status when payment was reject", "Escolha o status dos pedidos para pagamentos Rejeitados"
"Choose the status when payment was canceled", "Escolha o status dos pedidos para pagamentos Cancelados"

"Checkout Position", "Posição no Checkout"
"To manage the status available go to System > Order Statuses", "Para gerenciar os status disponíveis vá até System > Order Statuses"

"Mercado Pago Custom - Ticket", "Mercado Pago Transparente - Boleto"

"Mercado Pago Standard - Credit Card, Ticket and Account Money", "Mercado Pago Standard - Cartão, Boleto e Dinheiro em Conta"
"Country", "País"
"Type Checkout", "Tipo de Checkout"
"Auto Redirect","Auto-Redirecionar"
"Exclude Payment Methods","Excluir Meios de Pagamento"
"Maximum number of accepted installments","Numero maximo de parcelas"
"Width Checkout Iframe","Largura do Checkout Iframe (Width)"
"Height Checkout Iframe","Altura do Checkout Iframe (Height)"
"Auto-redirect the buyer when finishing the payment.","Auto-Redirecionar o comprador ao finalizar o pagamento."
"Select payment methods not accepted","Selecione os meios de pagamento não aceitos"
"For the operation of the Checkout Custom Ticket is necessary to configure the Credentials 'CLIENT_ID' and 'CLIENT_SECRET' in 'Mercado Pago - Configuration'","Para o funcionamento do Checkout Transparente Boleto é necessário configurar as Credenciais 'CLIENT_ID' e 'CLIENT_SECRET' em 'Mercado Pago - Configurações'"
"For the operation of the Checkout Standard is necessary to configure the Credentials 'CLIENT_ID' and 'CLIENT_SECRET' in 'Mercado Pago - Configuration'","Para o funcionamento do Checkout Standard é necessário configurar as Credenciais 'CLIENT_ID' e 'CLIENT_SECRET' em 'Mercado Pago - Configurações'"

"Card Number", "Número do cartão"
"Month", "Mês de vencimento"
"Year", "Ano de vencimento"
"Card Holder Name", "Titular do cartão"
"Document Number", "CPF"
"CVV", "Código de segurança"
"Installments", "Parcelas"
"Banks", "Bancos"

"Enter the card number", "Digite o numero do cartão"
"Validating Data", "Validando dados"
"An error has occurred. Please refresh the page.", "Ocorreu um erro. Por favor, atualize a pagina."
"Card number is invalid.", "Numero do Cartão inválido."
"CVV is invalid.", "Código de Segurança inválido."
"Card Holder Name is invalid.", "Nome do titular do cartão inválido."
"Document Number is invalid.", "CPF inválido."
"Document Type is invalid.","Tipo de Documento inválido."
"Year is invalid.", "Ano inválido."
"Month is invalid.", "Mês inválido."
"Please validate your data.", "Dados incorretos, valide os dados. Por favor."
"Cannot pay this amount with this payment_method_id.","Não é possível pagar esse valor com essa forma de pagamento."
"It was not possible to calculate the installments, click here and try again.","Não foi possível calcular as parcelas, clique aqui e tente novamente."

"Discount coupon","Cupom de Desconto"
"Run Out of uses per user.","Cupom já utilizado."
"An error occurred while validating the coupon. Try again.", "Ocorreu um erro ao validar o cupom. Tente novamente."
"The coupon can not be applied to this amount.", "O cupom não pode ser aplicado para esse valor."
"Please enter a valid coupon code.","Digite um código de cupom válido."
"Exclusive discount","Desconto exclusivo do"
"You save %1 with the exclusive discount","Você economizará %1 com o desconto exclusivo do"
"Total of your purchase","Total da sua compra"
"Total of your purchase discount","Total da sua compra com desconto"
"Upon approval of payment","Mediante aprovação do pagamento"
"Terms and conditions","Termos e condições"
"Apply discount","Aplicar desconto"
"Remove discount","Remover desconto"



"Thank you for your purchase!","Obrigado pela sua Compra!"
"Your order %1 has been successfully generated.","O seu pedido de numero %1 foi gerado com sucesso."
"Payment information","Informações sobre o pagamento"
"Card Number: %1", "Número do cartão: %1"
"Card Holder Name: %1", "Titular do cartão: %1"
"Payment Method: %1", "Método de Pagamento: %1"
"Expiration Date: %1", "Data de expiração: %1"
"Installments: %1", "Parcelas: %1"
"Statement Descriptor: %1", "Identificação na Fatura: %1"
"Payment Id (Mercado Pago): %1", "Numero de Pagamento (Mercado Pago): %1"
"Payment Status: %1 (%2)", "Status de Pagamento: %1 (%2)"

"Click on the link to generate the ticket", "Clique no link para gerar o boleto"
"Generate Ticket", "Gerar Boleto"

"Payment Method", "Método de Pagamento"

"Generate the ticket and pay it wherever you want.", "Gere o boleto e pague-o onde quiser."
"Will be approved within 2 business days.","Será aprovado até 2 dias úteis."

"Done, your payment was accredited!", "O seu pagamento foi aprovado!"
"We are processing the payment.", "Estamos processando o pagamento."
"In less than 2 business days we will tell you by e-mail if it is accredited or if we need more information.", "Em menos de 2 dias úteis você será avisado por e-mail se foi creditado ou se precisarmos de mais informações."
"In less than an hour we will send you by e-mail the result.", "Em menos de 1 hora, nós enviaremos o resultado por e-mail."

"Check the card number.", "Verifique o número do cartão."
"Check the expiration date.", "Verifique a data de validade."
"Check the data.", "Verifique os dados."
"Check the security code.", "Verifique o código de segurança."
"We could not process your payment.", "Não foi possível processar o pagamento."
"You must authorize to %1 the payment of $ %2 to Mercado Pago.", "Você precisa autorizar com a %1 o pagamento de R$ %2 ao Mercado Pago."
"Call %1 to activate your card.<br/>The phone is on the back of your card.", "Ligue para %1 e ative o seu cartão.<br/>O telefone está no verso do seu cartão de crédito."
"We could not process your payment.", "Não foi possível processar o pagamento."
"You already made a payment by that value.<br/>If you need to repay, use another card or other payment method.", "Você já fez o pagamento deste valor.<br/>Se você precisa pagar novamente use outro cartão ou outro meio de pagamento."
"Your payment was rejected.<br/>Choose another payment method, we recommend cash methods.", "O seu pagamento foi recusado.<br/>Recomendamos que você pague com outro dos meios de pagamento oferecidos, preferencialmente à vista."
"Your %1 do not have sufficient funds.", "O seu %1 não tem limite suficiente."
"%1 does not process payments in %1 installments.", "%1 não processa pagamentos em %2 parcelas."
"You have got to the limit of allowed attempts.<br/>Choose another card or another payment method.", "Você atingiu o limite de tentativas permitidas.<br/>Use outro cartão ou outro meio de pagamento."
"%1 did not process the payment.", "%1 não processou o pagamento."

"You can not make payments to users in other countries.", "Você não pode fazer pagamentos para usuários em outros países."
"Payment Method selected does not process payments in installments selected. Choose another card or another payment method.", "O meio de pagamento selecionado não processa pagamentos as parcelas selecionadas. Use outro cartão ou outro meio de pagamento."
"We could not process your payment. Error code: 126.", "Não foi possível processar o pagamento. Erro de numero: 126."
"Payment Method selected does not process payments for the selected amount. Choose another card or another payment method.", "O meio de pagamento selecionado não processa pagamentos do valor selecionado. Use outro cartão ou outro meio de pagamento."
"We could not process your payment. Error code: 145.", "Não foi possível processar o pagamento. Erro de numero: 145."
"You can not make payments. Error code: 150.", "Você não pode fazer pagamentos. Erro de numero: 150."
"You can not make payments.", "Você não pode fazer pagamentos com esse meio de pagamento."
"We could not process your payment. Error code: 160.", "Não foi possível processar o pagamento. Erro de numero: 160."
"Payment Method selected is not available at this time. Choose another card or another payment method.", "O meio de pagamento selecionado não está disponível neste momento. Use outro cartão ou outro meio de pagamento."
"You made a similar payment moments ago. Try again in a few minutes.", "Você realizou um pagamento similar há pouco tempo. Tente novamente em alguns minutos."
"We could not process your payment. %1", "Não foi possível processar o pagamento. %1"

"Verify the form data or wait until the validation of the payment data", "Verifique os dados do formulario ou aguarde a validação dos dados de pagamento."
"Doesn't find a campaign with the given code.","Cupom inválido."

"Payments were canceled.","O pagamento foi cancelado."
"Contact for more information.","Entre em contato para mais informações."


"Automatic notification of the Mercado Pago: The payment was approved.", "Notificação automática do Mercado Pago: O pagamento foi aprovado."
"Automatic notification of the Mercado Pago: The payment was refunded.", "Notificação automática do Mercado Pago: O pagamento foi devolvido."
"Automatic notification of the Mercado Pago: The payment is being processed.", "Notificação automática do Mercado Pago: O pagamento está sendo processado."
"Automatic notification of the Mercado Pago: The payment is being processed. Will be approved within 2 business days.", "Notificação automática do Mercado Pago: O pagamento está sendo processado. Em até 2 dias úteis o pagamento será analisado."
"Automatic notification of the Mercado Pago: The payment is in the process of Dispute, check the graphic account of the Mercado Pago for more information.", "Notificação automática do Mercado Pago: O pagamento está em processo de Disputa, verifique a conta gráfica do Mercado Pago para maiores informações."
"Automatic notification of the Mercado Pago: The payment was cancelled.", "Notificação automática do Mercado Pago: O pagamento foi cancelado."
"Automatic notification of the Mercado Pago: The payment was rejected.", "Notificação automática do Mercado Pago: O pagamento foi rejeitado."
"<br/> Payment id: %1", "<br/> Numero do Pagamento: %1"
"<br/> Status: %1", "<br/> Status: %1"
"<br/> Status Detail: %1", "<br/> Detalhe do Status: %1"

"Order # %1 in store %2","Pedido # %1 realizado na loja %2"

"$", "R$"
"Select", "Escolha"
"Default issuer", "Qualquer Banco"

"Get your public_key in the following address: https://www.mercadopago.com/mlb/account/credentials","Obtenha seu public_key no seguinte endereço: https://www.mercadopago.com/mlb/account/credentials"
"Choose the status when payment was chargeback", "Escolha o status dos pedidos para pagamentos com status Chargeback"

"Cannot operate between users from different countries.","Não é possível operar entre usuários de diferentes países."
"Payment method does not process installments.","Payment method does not process installments. Choose another credit card or payment method."
"Cannot pay this amount with this paymentMethod.","Forma de pagamento não processa parcelas. Escolha um outro cartão de crédito ou método de pagamento."
"You user cannot do payments currently","Você usuário não pode fazer pagamentos atualmente."
"You user cannot do payments currently with this payment method.","Você usuário não pode fazer pagamentos actualmente com este método de pagamento ."
"Unavailable paymentmethod currently.","Método de pagamento actualmente indisponíveis."
"Already posted the same request in the last minute.","Já postou o mesmo pedido no último minuto . Tente novamente mais tarde."
"Doesn't find a campaign with the given code.", "Não encontrar uma campanha com o código dado."
"We could not process your payment in this moment. Please check the form data and retry later","Não foi possível processar seu pagamento , neste momento . Por favor verifique os dados do formulário e tente novamente mais tarde"

"The items Quantity has exceeded the limits. We could not process your payment.", "O itens Quantidade ultrapassou os limites . Não foi possível processar o seu pagamento."
"Already posted the same request in the last minute.", "Já postou o mesmo pedido no último minuto."
"The transaction amount is invalid. We could not process your payment.", "O valor da transação é inválido. Não foi possível processar o seu pagamento."
"You user cannot do payments currently", "Você usuário não pode fazer pagamentos atualmente"
"You have exceeded the max number of refunds for this payment.", "Você excedeu o número máximo de reembolso para este pagamento."
"Payment too old to be refunded", "O pagamento velho demais para ser reembolsado"
"Coupon code is invalid", "Código de cupom é inválido"
"Your user e-mail does not exist. Please check data and retry later", "Seu e-mail do usuário não existe. Verifique os dados e tente novamente mais tarde"
"You must provide your cardholder name with your card data", "Você deve fornecer seu nome do titular do cartão com seus dados de cartão"
"Not found payment method or credit card. Please check the form data and retry.", "Não encontrou forma de pagamento ou do cartão de crédito . Por favor verifique os dados do formulário e tente novamente."
"Security code is invalid. Please check the form data and retry.", "Código de segurança inválido. Por favor verifique os dados do formulário e tente novamente."
"Security code is a required field. Please check the form data and retry.", "O código de segurança é um campo obrigatório . Por favor verifique os dados do formulário e tente novamente."
"Payment method or credit card invalid. Please check the form data and retry.", "Forma de pagamento ou do cartão de crédito inválido. Por favor verifique os dados do formulário e tente novamente."
"Credit card number is invalid. Please check the form data and retry.", "Número do cartão de crédito é inválido. Por favor verifique os dados do formulário e tente novamente."
"Expiration month can not be empty. Please check the form data and retry.", "Mês de expiração não pode estar vazio . Por favor verifique os dados do formulário e tente novamente."
"Expiration year can not be empty. Please check the form data and retry.", "Ano de expiração não pode estar vazio . Por favor verifique os dados do formulário e tente novamente."
"Cardholder name can not empty. Please check the form data and retry.", "Nome do titular do cartão não pode vazio. Por favor verifique os dados do formulário e tente novamente."
"Cardholder document number can not be empty. Please check the form data and retry.", "Número do documento do titular do cartão não pode ser vazio . Por favor verifique os dados do formulário e tente novamente."
"Cardholder document type can not be empty. Please check the form data and retry.", "Titular do cartão tipo de documento não pode estar vazio . Por favor verifique os dados do formulário e tente novamente."
"Cardholder document subtype can not be empty. Please check the form data and retry.", "Documento do titular do cartão subtipo não pode estar vazio . Por favor verifique os dados do formulário e tente novamente."
"Expiration month is invalid. Please check the form data and retry.", "Mês de expiração é inválido. Por favor verifique os dados do formulário e tente novamente."
"Expiration year is invalid. Please check the form data and retry.", "Ano de expiração é inválido. Por favor verifique os dados do formulário e tente novamente."
"Installments attribute can not be empty. Please check the form data and retry.", "Atributo parcelas não pode estar vazio . Por favor verifique os dados do formulário e tente novamente."
"Coupon amount is invalid. Please check the form data and retry.", "Valor do cupom é válido. Por favor verifique os dados do formulário e tente novamente."
"Doesn't find a campaign to amount given", "Não Encontrado um coicida campanha para o montante da ordem"
"Amount discount is invalid", "Valor do desconto é inválido"

"Use other card","Utilizar outro cartão"
"Return to cards list","Voltar para lista de Cartões"

"Mercado Pago - Classic Checkout: Invalid client id or client secret","Mercado Pago - Classic Checkout: ID de cliente ou secreta cliente inválido"
"Mercado Pago - Custom Checkout: Invalid access token","Mercado Pago - Custom Checkout: Token de acesso inválido"
"(estimated date %1)","(data estimada %1)"
"MercadoEnvios is not enabled in the country where Mercado Pago is configured","MercadoEnvios não está habilitado no país onde Mercado Pago está configurado"
"Discount Mercado Pago","Desconto de Mercado Pago"

"It is a requirement that you have a SSL certificate, and the payment form to be provided under an HTTPS page.
                                        During the sandbox mode tests, you can operate over HTTP,
                                        but for homologation you'll need to acquire the certificate in case you don't have it.
                                        <a href="https://www.mercadopago.com.ar/developers/solutions/payments/custom-checkout/appliance-requirements/" target="_blank">Learn More</a>",
                                        "é um requisito que tenha um certificado SSL e que o formulário de pagamentos esteja sobre uma página HTTPS.
                                         Durante os testes em modo sandbox, pode operar em HTTP, mas para a homologação, deverá adquirir o certificado caso não tenha.
                                         <a href="https://www.mercadopago.com.ar/developers/solutions/payments/custom-checkout/appliance-requirements/" target="_blank">Ver mais</a>"

"Use Mercado Pago success page","Use página de sucesso Mercado Pago"
 "If set this config with NO, magento success page will be used","Se definir essa configuração com NO, página de sucesso magento será usado"

 "Order # %1 in store %2","Pedido # %1 realizado na loja %2"

"Consider Discounts","Considerar desconto"
"Consider discount of Mercado Pago to invoicing","Considere o desconto do Mercado Pago para faturamento"
